complaint_number,title,category,priority,status,customer,assigned_agent,created_at,sla_due_at,resolved_at,closed_at,resolution_hours,sla_breached,satisfaction_rating
CMP-2025-0152,Chat support unresponsive,Customer Service,Low,In Progress,Customer_019,Bob Martinez,2025-01-01 08:00:00,2025-01-04 08:00:00,,,,1,
CMP-2024-0153,Refund amount incorrect,Refund Requests,Low,Resolved,Customer_032,Emma Wilson,2024-12-05 18:00:00,2024-12-08 18:00:00,2024-12-06 13:00:00,,19,0,1
CMP-2024-0154,Subscription not activating,Account Issues,Low,Closed,Customer_027,Bob Martinez,2024-12-22 16:00:00,2024-12-25 16:00:00,2024-12-27 03:00:00,2024-12-29 01:00:00,107,1,5
CMP-2025-0155,Tax calculation incorrect,Billing Issues,Medium,In Progress,Customer_031,Alice Johnson,2025-03-10 13:00:00,2025-03-12 13:00:00,,,,1,
CMP-2025-0156,Double charged on account,Billing Issues,Medium,Assigned,Customer_005,Clara Singh,2025-05-18 18:00:00,2025-05-20 18:00:00,,,,1,
CMP-2025-0157,Unauthorized account access,Account Issues,Low,Closed,Customer_023,Emma Wilson,2025-05-14 10:00:00,2025-05-17 10:00:00,2025-05-17 00:00:00,2025-05-19 04:00:00,62,0,
CMP-2025-0158,Missing accessories in box,Product Defects,Low,Closed,Customer_030,Alice Johnson,2025-01-21 08:00:00,2025-01-24 08:00:00,2025-01-23 01:00:00,2025-01-26 00:00:00,41,0,4
CMP-2024-0159,Refund rejected unfairly,Refund Requests,Medium,Escalated,Customer_013,Clara Singh,2024-12-13 18:00:00,2024-12-15 18:00:00,,,,1,
CMP-2025-0160,Peak hour disruption,Service Disruption,High,Escalated,Customer_028,David Lee,2025-03-23 14:00:00,2025-03-24 14:00:00,,,,1,
CMP-2025-0161,Faulty unit received,Product Defects,Medium,Closed,Customer_032,Clara Singh,2025-02-07 09:00:00,2025-02-09 09:00:00,2025-02-11 01:00:00,2025-02-13 17:00:00,88,1,
CMP-2025-0162,Return pickup not scheduled,Delivery Delays,Medium,Resolved,Customer_006,Clara Singh,2025-02-14 12:00:00,2025-02-16 12:00:00,2025-02-14 23:00:00,,11,0,4
CMP-2025-0163,Unexpected fee on statement,Billing Issues,High,Closed,Customer_023,Emma Wilson,2025-02-09 18:00:00,2025-02-10 18:00:00,2025-02-09 21:00:00,2025-02-12 03:00:00,3,0,4
CMP-2025-0164,Packaging defect,Product Defects,Critical,Assigned,Customer_010,Emma Wilson,2025-03-23 08:00:00,2025-03-23 16:00:00,,,,1,
CMP-2025-0165,Password reset not working,Technical Problems,High,Resolved,Customer_024,Clara Singh,2025-04-25 08:00:00,2025-04-26 08:00:00,2025-04-25 20:00:00,,12,0,5
CMP-2025-0166,Packaging defect,Product Defects,Medium,Closed,Customer_026,Clara Singh,2025-02-10 11:00:00,2025-02-12 11:00:00,2025-02-13 00:00:00,2025-02-14 19:00:00,61,1,5
CMP-2025-0167,Intermittent connectivity issue,Service Disruption,Medium,Closed,Customer_017,David Lee,2025-05-06 12:00:00,2025-05-08 12:00:00,2025-05-07 01:00:00,2025-05-07 20:00:00,13,0,
CMP-2025-0168,Peak hour disruption,Service Disruption,Medium,Escalated,Customer_029,Alice Johnson,2025-02-20 18:00:00,2025-02-22 18:00:00,,,,1,
CMP-2025-0169,Intermittent connectivity issue,Service Disruption,Medium,Closed,Customer_019,Clara Singh,2025-05-13 10:00:00,2025-05-15 10:00:00,2025-05-13 18:00:00,2025-05-14 18:00:00,8,0,4
CMP-2025-0170,Refund rejected unfairly,Refund Requests,Low,Assigned,Customer_036,Emma Wilson,2025-03-30 16:00:00,2025-04-02 16:00:00,,,,1,
CMP-2025-0171,Unscheduled maintenance impact,Service Disruption,Low,Closed,Customer_026,David Lee,2025-03-16 14:00:00,2025-03-19 14:00:00,2025-03-20 12:00:00,2025-03-22 17:00:00,94,1,
CMP-2025-0172,Refund amount incorrect,Refund Requests,High,In Progress,Customer_023,Bob Martinez,2025-05-13 17:00:00,2025-05-14 17:00:00,,,,1,
CMP-2025-0173,Faulty unit received,Product Defects,Medium,In Progress,Customer_004,Alice Johnson,2025-01-09 12:00:00,2025-01-11 12:00:00,,,,1,
CMP-2025-0174,Account merge issue,Account Issues,Critical,In Progress,Customer_015,Clara Singh,2025-02-11 09:00:00,2025-02-11 17:00:00,,,,1,
CMP-2024-0175,Lost in transit,Delivery Delays,Low,Resolved,Customer_020,Emma Wilson,2024-12-24 16:00:00,2024-12-27 16:00:00,2024-12-25 12:00:00,,20,0,
CMP-2024-0176,Account locked unexpectedly,Account Issues,High,Closed,Customer_037,Alice Johnson,2024-12-21 08:00:00,2024-12-22 08:00:00,2024-12-21 17:00:00,2024-12-23 22:00:00,9,0,
CMP-2025-0177,Escalation not followed up,Customer Service,High,Resolved,Customer_002,David Lee,2025-04-19 12:00:00,2025-04-20 12:00:00,2025-04-19 20:00:00,,8,0,5
CMP-2025-0178,Partial delivery received,Delivery Delays,Medium,Resolved,Customer_004,Bob Martinez,2025-03-17 15:00:00,2025-03-19 15:00:00,2025-03-18 01:00:00,,10,0,5
CMP-2025-0179,Account merge issue,Account Issues,Critical,Escalated,Customer_009,Clara Singh,2025-04-23 09:00:00,2025-04-23 17:00:00,,,,1,
CMP-2024-0180,Partial refund received,Refund Requests,Low,Escalated,Customer_029,Bob Martinez,2024-12-25 08:00:00,2024-12-28 08:00:00,,,,1,
CMP-2025-0181,Long hold times on call,Customer Service,High,Closed,Customer_027,Bob Martinez,2025-02-22 17:00:00,2025-02-23 17:00:00,2025-02-24 05:00:00,2025-02-26 00:00:00,36,1,4
CMP-2025-0182,Lost in transit,Delivery Delays,Medium,In Progress,Customer_006,David Lee,2025-03-28 11:00:00,2025-03-30 11:00:00,,,,1,
CMP-2025-0183,Account merge issue,Account Issues,Low,Resolved,Customer_019,David Lee,2025-05-17 18:00:00,2025-05-20 18:00:00,2025-05-18 08:00:00,,14,0,5
CMP-2024-0184,Email change not working,Account Issues,High,Resolved,Customer_024,Alice Johnson,2024-12-14 17:00:00,2024-12-15 17:00:00,2024-12-15 03:00:00,,10,0,
CMP-2025-0185,Cashback not credited,Refund Requests,High,Assigned,Customer_018,Emma Wilson,2025-05-06 09:00:00,2025-05-07 09:00:00,,,,1,
CMP-2025-0186,Slow service speeds,Service Disruption,Medium,Resolved,Customer_022,Emma Wilson,2025-01-06 11:00:00,2025-01-08 11:00:00,2025-01-06 14:00:00,,3,0,
CMP-2025-0187,Product not matching description,Product Defects,High,Closed,Customer_031,Emma Wilson,2025-01-08 17:00:00,2025-01-09 17:00:00,2025-01-11 10:00:00,2025-01-12 18:00:00,65,1,
CMP-2025-0188,Lost in transit,Delivery Delays,Medium,Escalated,Customer_033,Emma Wilson,2025-04-05 17:00:00,2025-04-07 17:00:00,,,,1,
CMP-2025-0189,Billing cycle error,Billing Issues,Medium,Open,Customer_008,,2025-02-17 18:00:00,2025-02-19 18:00:00,,,,1,
CMP-2024-0190,Partial refund received,Refund Requests,Medium,Resolved,Customer_038,Emma Wilson,2024-12-14 17:00:00,2024-12-16 17:00:00,2024-12-16 09:00:00,,40,0,4
CMP-2025-0191,Cannot login to portal,Technical Problems,Low,Resolved,Customer_008,Bob Martinez,2025-03-23 13:00:00,2025-03-26 13:00:00,2025-03-24 16:00:00,,27,0,5
CMP-2025-0192,Refund amount incorrect,Refund Requests,Critical,Escalated,Customer_004,Bob Martinez,2025-01-23 16:00:00,2025-01-24 00:00:00,,,,1,
CMP-2025-0193,Credit not applied to account,Refund Requests,Medium,Resolved,Customer_021,Bob Martinez,2025-04-16 13:00:00,2025-04-18 13:00:00,2025-04-18 07:00:00,,42,0,4
CMP-2025-0194,Refund amount incorrect,Refund Requests,Low,Closed,Customer_016,Clara Singh,2025-02-15 11:00:00,2025-02-18 11:00:00,2025-02-17 00:00:00,2025-02-19 09:00:00,37,0,
CMP-2025-0195,Cashback not credited,Refund Requests,Medium,Assigned,Customer_023,Emma Wilson,2025-02-09 12:00:00,2025-02-11 12:00:00,,,,1,
CMP-2025-0196,Long hold times on call,Customer Service,Critical,Escalated,Customer_026,Clara Singh,2025-02-13 08:00:00,2025-02-13 16:00:00,,,,1,
CMP-2025-0197,Peak hour disruption,Service Disruption,Medium,In Progress,Customer_029,Clara Singh,2025-04-02 11:00:00,2025-04-04 11:00:00,,,,1,
CMP-2025-0198,Order delayed beyond estimate,Delivery Delays,Critical,In Progress,Customer_018,Bob Martinez,2025-05-07 17:00:00,2025-05-08 01:00:00,,,,1,
CMP-2025-0199,Tax calculation incorrect,Billing Issues,High,Assigned,Customer_034,Bob Martinez,2025-01-29 08:00:00,2025-01-30 08:00:00,,,,1,
CMP-2025-0200,Account locked unexpectedly,Account Issues,High,Resolved,Customer_007,Bob Martinez,2025-04-20 10:00:00,2025-04-21 10:00:00,2025-04-21 02:00:00,,16,0,3
CMP-2025-0201,Return pickup not scheduled,Delivery Delays,Medium,Resolved,Customer_004,Alice Johnson,2025-04-26 11:00:00,2025-04-28 11:00:00,2025-04-26 14:00:00,,3,0,3
CMP-2025-0202,Product not matching description,Product Defects,Critical,Closed,Customer_003,David Lee,2025-01-17 12:00:00,2025-01-17 20:00:00,2025-01-19 10:00:00,2025-01-21 12:00:00,46,1,
CMP-2025-0203,Email change not working,Account Issues,Medium,Resolved,Customer_035,Emma Wilson,2025-01-04 16:00:00,2025-01-06 16:00:00,2025-01-05 00:00:00,,8,0,5
CMP-2025-0204,Wrong address delivery,Delivery Delays,High,Closed,Customer_001,Clara Singh,2025-04-25 18:00:00,2025-04-26 18:00:00,2025-04-28 12:00:00,2025-05-01 09:00:00,66,1,4
CMP-2025-0205,Unable to update profile,Account Issues,Low,Closed,Customer_007,Bob Martinez,2025-04-02 13:00:00,2025-04-05 13:00:00,2025-04-06 15:00:00,2025-04-07 18:00:00,98,1,4
CMP-2025-0206,Unauthorized account access,Account Issues,Medium,Closed,Customer_037,Alice Johnson,2025-05-17 13:00:00,2025-05-19 13:00:00,2025-05-19 22:00:00,2025-05-21 15:00:00,57,1,4
CMP-2025-0207,Lost in transit,Delivery Delays,High,Closed,Customer_019,Clara Singh,2025-01-26 11:00:00,2025-01-27 11:00:00,2025-01-27 02:00:00,2025-01-29 13:00:00,15,0,4
CMP-2025-0208,Cashback not credited,Refund Requests,High,Resolved,Customer_014,Bob Martinez,2025-05-02 09:00:00,2025-05-03 09:00:00,2025-05-02 21:00:00,,12,0,
CMP-2025-0209,Intermittent connectivity issue,Service Disruption,Low,Assigned,Customer_036,Emma Wilson,2025-04-26 16:00:00,2025-04-29 16:00:00,,,,1,
CMP-2025-0210,Subscription not activating,Account Issues,High,Resolved,Customer_029,Alice Johnson,2025-01-22 17:00:00,2025-01-23 17:00:00,2025-01-23 08:00:00,,15,0,4
CMP-2025-0211,Complaint ignored repeatedly,Customer Service,Medium,Resolved,Customer_004,Emma Wilson,2025-02-17 08:00:00,2025-02-19 08:00:00,2025-02-17 22:00:00,,14,0,2
CMP-2025-0212,Account locked unexpectedly,Account Issues,High,Escalated,Customer_035,Alice Johnson,2025-03-31 08:00:00,2025-04-01 08:00:00,,,,1,
CMP-2025-0213,Product not matching description,Product Defects,High,Resolved,Customer_027,Clara Singh,2025-03-25 14:00:00,2025-03-26 14:00:00,2025-03-26 08:00:00,,18,0,
CMP-2025-0214,Account merge issue,Account Issues,Low,Closed,Customer_035,David Lee,2025-01-02 11:00:00,2025-01-05 11:00:00,2025-01-04 02:00:00,2025-01-05 19:00:00,39,0,4
CMP-2025-0215,Chat support unresponsive,Customer Service,High,In Progress,Customer_016,David Lee,2025-01-09 12:00:00,2025-01-10 12:00:00,,,,1,
CMP-2025-0216,Complete service outage,Service Disruption,Low,Open,Customer_027,,2025-01-31 11:00:00,2025-02-03 11:00:00,,,,1,
CMP-2024-0217,Tax calculation incorrect,Billing Issues,Medium,Resolved,Customer_004,Bob Martinez,2024-12-12 14:00:00,2024-12-14 14:00:00,2024-12-12 18:00:00,,4,0,
CMP-2025-0218,Lost in transit,Delivery Delays,Low,Closed,Customer_037,Clara Singh,2025-05-03 18:00:00,2025-05-06 18:00:00,2025-05-04 13:00:00,2025-05-06 19:00:00,19,0,4
CMP-2025-0219,Return pickup not scheduled,Delivery Delays,Low,Resolved,Customer_038,Bob Martinez,2025-03-20 16:00:00,2025-03-23 16:00:00,2025-03-22 17:00:00,,49,0,4
CMP-2025-0220,Long hold times on call,Customer Service,Medium,In Progress,Customer_020,David Lee,2025-04-17 15:00:00,2025-04-19 15:00:00,,,,1,
CMP-2025-0221,Cannot login to portal,Technical Problems,Medium,Closed,Customer_010,David Lee,2025-04-23 14:00:00,2025-04-25 14:00:00,2025-04-23 23:00:00,2025-04-25 11:00:00,9,0,
CMP-2024-0222,API returning errors,Technical Problems,Medium,Closed,Customer_006,David Lee,2024-12-24 16:00:00,2024-12-26 16:00:00,2024-12-25 10:00:00,2024-12-26 22:00:00,18,0,5
CMP-2025-0223,Intermittent connectivity issue,Service Disruption,Low,Closed,Customer_038,Emma Wilson,2025-04-02 11:00:00,2025-04-05 11:00:00,2025-04-02 13:00:00,2025-04-03 14:00:00,2,0,5
CMP-2025-0224,Peak hour disruption,Service Disruption,High,Resolved,Customer_031,Bob Martinez,2025-05-04 11:00:00,2025-05-05 11:00:00,2025-05-04 22:00:00,,11,0,4
CMP-2025-0225,Email change not working,Account Issues,Medium,Closed,Customer_024,Emma Wilson,2025-03-30 09:00:00,2025-04-01 09:00:00,2025-03-31 06:00:00,2025-04-03 04:00:00,21,0,
CMP-2025-0226,Subscription not activating,Account Issues,Medium,In Progress,Customer_037,Bob Martinez,2025-01-07 08:00:00,2025-01-09 08:00:00,,,,1,
CMP-2025-0227,Long hold times on call,Customer Service,Medium,Closed,Customer_013,Clara Singh,2025-03-08 17:00:00,2025-03-10 17:00:00,2025-03-10 11:00:00,2025-03-13 11:00:00,42,0,4
CMP-2025-0228,Partial refund received,Refund Requests,Critical,Assigned,Customer_032,David Lee,2025-03-01 10:00:00,2025-03-01 18:00:00,,,,1,
CMP-2024-0229,Refund amount incorrect,Refund Requests,Low,Closed,Customer_035,Alice Johnson,2024-12-09 09:00:00,2024-12-12 09:00:00,2024-12-09 10:00:00,2024-12-11 00:00:00,1,0,
CMP-2025-0230,App crashes on startup,Technical Problems,Low,Resolved,Customer_010,Alice Johnson,2025-04-09 15:00:00,2025-04-12 15:00:00,2025-04-12 05:00:00,,62,0,1
CMP-2025-0231,Misinformation from agent,Customer Service,Low,Resolved,Customer_034,Clara Singh,2025-02-12 08:00:00,2025-02-15 08:00:00,2025-02-14 16:00:00,,56,0,5
CMP-2025-0232,Intermittent connectivity issue,Service Disruption,Critical,Resolved,Customer_034,Bob Martinez,2025-01-19 17:00:00,2025-01-20 01:00:00,2025-01-19 20:00:00,,3,0,2
CMP-2024-0233,Chat support unresponsive,Customer Service,Medium,Closed,Customer_016,Bob Martinez,2024-12-21 18:00:00,2024-12-23 18:00:00,2024-12-21 21:00:00,2024-12-22 14:00:00,3,0,4
CMP-2025-0234,Refund not processed after 30 days,Refund Requests,Low,Resolved,Customer_001,Bob Martinez,2025-04-07 14:00:00,2025-04-10 14:00:00,2025-04-08 03:00:00,,13,0,5
CMP-2024-0235,API returning errors,Technical Problems,Low,Closed,Customer_037,David Lee,2024-12-12 09:00:00,2024-12-15 09:00:00,2024-12-12 14:00:00,2024-12-13 13:00:00,5,0,4
CMP-2025-0236,API returning errors,Technical Problems,Medium,In Progress,Customer_026,Alice Johnson,2025-01-11 17:00:00,2025-01-13 17:00:00,,,,1,
CMP-2025-0237,Complaint ignored repeatedly,Customer Service,High,Resolved,Customer_035,Clara Singh,2025-01-05 09:00:00,2025-01-06 09:00:00,2025-01-05 11:00:00,,2,0,
CMP-2025-0238,Two-factor auth failing,Technical Problems,High,Closed,Customer_022,Emma Wilson,2025-05-02 14:00:00,2025-05-03 14:00:00,2025-05-03 11:00:00,2025-05-04 16:00:00,21,0,4
CMP-2025-0239,App crashes on startup,Technical Problems,Medium,Resolved,Customer_025,David Lee,2025-04-29 18:00:00,2025-05-01 18:00:00,2025-04-30 13:00:00,,19,0,5
CMP-2025-0240,Peak hour disruption,Service Disruption,Medium,Resolved,Customer_025,Bob Martinez,2025-03-10 13:00:00,2025-03-12 13:00:00,2025-03-13 10:00:00,,69,1,5
CMP-2025-0241,Partial service degradation,Service Disruption,Low,Resolved,Customer_012,David Lee,2025-04-22 16:00:00,2025-04-25 16:00:00,2025-04-23 04:00:00,,12,0,3
CMP-2025-0242,Email change not working,Account Issues,High,Closed,Customer_001,Clara Singh,2025-03-10 09:00:00,2025-03-11 09:00:00,2025-03-10 17:00:00,2025-03-12 17:00:00,8,0,5
CMP-2025-0243,Product not matching description,Product Defects,Low,In Progress,Customer_020,Clara Singh,2025-01-07 09:00:00,2025-01-10 09:00:00,,,,1,
CMP-2025-0244,Wrong address delivery,Delivery Delays,Medium,Closed,Customer_031,Alice Johnson,2025-02-03 11:00:00,2025-02-05 11:00:00,2025-02-05 03:00:00,2025-02-06 03:00:00,40,0,3
CMP-2025-0245,Unexpected fee on statement,Billing Issues,Critical,Escalated,Customer_022,Emma Wilson,2025-02-23 15:00:00,2025-02-23 23:00:00,,,,1,
CMP-2025-0246,Product not matching description,Product Defects,Medium,Closed,Customer_039,Bob Martinez,2025-02-19 10:00:00,2025-02-21 10:00:00,2025-02-20 05:00:00,2025-02-22 16:00:00,19,0,4
CMP-2024-0247,API returning errors,Technical Problems,Medium,In Progress,Customer_018,David Lee,2024-12-30 17:00:00,2025-01-01 17:00:00,,,,1,
CMP-2025-0248,Packaging defect,Product Defects,High,Resolved,Customer_036,Alice Johnson,2025-03-29 11:00:00,2025-03-30 11:00:00,2025-03-29 14:00:00,,3,0,5
CMP-2025-0249,Long hold times on call,Customer Service,High,Assigned,Customer_009,Clara Singh,2025-02-03 18:00:00,2025-02-04 18:00:00,,,,1,
CMP-2025-0250,Misinformation from agent,Customer Service,High,Resolved,Customer_005,David Lee,2025-04-02 17:00:00,2025-04-03 17:00:00,2025-04-03 07:00:00,,14,0,5
